,region,file_name,treeID,Model,point2tree_area,voxel_volume,convex_hull_volume,voxel_area,Iteration,point2tree_volume,Recon_iter,Precision,Recall,F1 Score,graham_volume,graham_Area,convex_hull_area,density_points_per_m2,num_point,bounding_box_area_m2,file
42,CULS,./CULS/plot_3_annotated.las,3118,tree_44,40.35880355,67.984,252.4190642,34.04,3400,159.4797935,3400,0.887609713,0.5579,0.685152724,106.9291578,24.65334617,37.837648,1684.744659,77133,45.783199,plot_3_annotated.las
43,CULS,./CULS/plot_3_annotated.las,3119,tree_45,22.57474235,39.064,109.3781831,23.0,3400,46.16151068,3400,0.922699961,0.78069,0.845775364,48.41360426,14.48932976,23.7334065,1247.046525,40608,32.56334,plot_3_annotated.las
44,CULS,./CULS/plot_3_annotated.las,3120,tree_46,22.21804468,36.272,110.5474637,20.76,3400,50.39013306,3400,0.944119512,0.74667,0.833865731,46.5846955,14.35247972,21.8564735,1497.519295,42573,28.429016,plot_3_annotated.las
45,CULS,./CULS/plot_3_annotated.las,3121,tree_47,17.63183955,24.392,88.27246704,17.04,3400,38.71132647,3400,0.963514019,0.67511,0.793931911,30.15111644,13.62815787,17.594443,1075.275949,26750,24.877335,plot_3_annotated.las
46,NIBIO,./NIBIO/plot_10_annotated.las,1,tree_48,32.38813623,91.096,310.3849832,29.96,3400,160.8537683,3400,0.83658,0.66329,0.739924324,139.5234381,21.11429929,32.98775,2408.634473,100000,41.5173,plot_10_annotated.las
47,NIBIO,./NIBIO/plot_10_annotated.las,2,tree_49,21.59779505,87.216,287.3978982,19.76,3400,159.7135034,3400,0.8464,0.60791,0.707600201,128.2429146,16.44179943,21.70325,3739.212372,100000,26.7436,plot_10_annotated.las
48,NIBIO,./NIBIO/plot_10_annotated.las,3,tree_50,5.620347645,8.96,45.138583,6.2,3400,13.77395012,3400,0.977058824,0.60702,0.74881911,8.34223504,3.537700026,6.44915,1228.945276,10200,8.299800001,plot_10_annotated.las
49,NIBIO,./NIBIO/plot_10_annotated.las,4,tree_51,14.86386393,32.008,82.13160716,14.76,3400,42.99148519,3400,0.941600105,0.74213,0.830049524,38.84819489,6.987849738,15.2278,1462.718584,30548,20.8844,plot_10_annotated.las
50,NIBIO,./NIBIO/plot_10_annotated.las,5,tree_52,25.67525299,56.536,220.3250068,22.88,3400,105.8425755,3400,0.909428627,0.64642,0.75569415,71.68089506,19.81729974,24.83245,2738.367723,96907,35.3886,plot_10_annotated.las
51,NIBIO,./NIBIO/plot_10_annotated.las,6,tree_53,18.9353976,52.648,112.206268,16.92,3400,77.24788649,3400,0.955651025,0.81437,0.879372069,60.37498972,11.43164874,17.45435,3347.311914,74951,22.3914,plot_10_annotated.las
52,NIBIO,./NIBIO/plot_10_annotated.las,7,tree_54,17.1001407,56.2,145.172943,16.4,3400,74.62851593,3400,0.919969746,0.72318,0.809790736,60.24519047,6.966700249,16.2956,3579.668761,84618,23.6385,plot_10_annotated.las
53,NIBIO,./NIBIO/plot_10_annotated.las,8,tree_55,12.37274787,35.8,77.44223417,12.08,3400,42.86665349,3400,0.948616059,0.83984,0.890920084,37.0499751,7.216550012,12.2152,2292.085427,43788,19.104,plot_10_annotated.las
54,NIBIO,./NIBIO/plot_10_annotated.las,9,tree_56,27.10436429,62.512,131.8151377,25.4,3400,85.4321673,3400,0.9546,0.83385,0.890148687,80.40096016,15.69599956,26.78565,2539.66964,100000,39.3752,plot_10_annotated.las
55,NIBIO,./NIBIO/plot_10_annotated.las,10,tree_57,12.67056248,42.168,92.2669885,12.64,3400,50.78264006,3400,0.967234739,0.82447,0.890164554,48.47604549,7.618149996,12.3666,4393.625036,75812,17.255,plot_10_annotated.las
56,NIBIO,./NIBIO/plot_10_annotated.las,11,tree_58,18.85509533,68.736,142.870303,18.64,3400,95.05784597,3400,0.914072247,0.70897,0.798561839,85.57565681,12.33660011,18.5416,2761.666491,70536,25.5411,plot_10_annotated.las
57,NIBIO,./NIBIO/plot_10_annotated.las,12,tree_59,14.57814433,69.96,172.338718,14.0,3400,117.4484198,3400,0.88100323,0.61512,0.724435923,87.27449447,8.930899749,14.2699,2911.309799,56657,19.461,plot_10_annotated.las
58,NIBIO,./NIBIO/plot_10_annotated.las,13,tree_60,7.286646337,14.816,53.91790217,8.32,3400,17.26470211,3400,0.928804348,0.55296,0.693216371,22.48886482,5.346199652,10.70075,474.1443177,7360,15.5227,plot_10_annotated.las
59,NIBIO,./NIBIO/plot_10_annotated.las,14,tree_61,4.903565957,9.08,20.46405467,6.08,3400,6.40219947,3400,0.945472409,0.81876,0.877565774,10.31550734,3.376199886,5.99715,654.3868672,6107,9.332400001,plot_10_annotated.las
60,NIBIO,./NIBIO/plot_10_annotated.las,15,tree_62,39.87859677,87.856,270.636313,34.16,3400,188.786859,3400,0.91398,0.62483,0.742238643,130.0514357,15.65329885,36.2639,1847.674055,100000,54.1221,plot_10_annotated.las
61,NIBIO,./NIBIO/plot_10_annotated.las,17,tree_63,3.836148949,6.048,14.12009167,4.96,3400,5.005976783,3400,0.919432807,0.7519,0.827269739,7.812367504,3.035649994,5.296099999,388.5257808,3103,7.986599998,plot_10_annotated.las
